id,text,sentiment
35987ef851,Got a deadline to meet!!! No TGIF for me,0
a429255434,G`day  Thanx for following.,1
c848cca377, that`s cool! i think del`s going to korea same time as you! have fun!,1
d4d8e06110,Ugh! I can`t access through my mobile web!,0
2916e56486, That sounds like a good compromise.,1
cf16d0c659," G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!",1
c28e5146f1, aw thas good im glad your happy  i jus been chillin,1
bdb3d43938,"Its not looking too good outside  if this continues, i feel a movie night coming on...",0
90b0c70def,My sunburn itches  ouch,0
771d1dbc22, which means i spend more time alone than with friends and family. how sad,0
8d4272e7f3, Fab new pic by the way,1
02f422cb06,is excited for tonight`s party of ron  http://plurk.com/p/sujth,1
a61d4c6048, hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,1
fd285fe74a, me too. I hate my computer so much..,0
ee5eb5337b,"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",0
7b87883ff8,had a funny time at neball against PLC  score: 48-3. what a game.,1
4ace4014c4,WH Correspondant`s Dinner Rocked! Wanda Sykes was hilarious and Obama wasn`t too bad  Happy Mother`s Day to all the mom`s out there......,1
5882e7f828, Nite. Now I`m up n bored as opposed to almost sleep frm b 4,0
698a91c45d, thanks!! Yes!! A lot!,1
ffac07a79d,"LaLaLand... why am i liking that song so much?! Anyhoo.... grr I have a cold, but thank goodness though the sore throat has gone!!",1
9023707f7f,"Watching the Broncos vs Chiefs 1994, Montana vs Elway on NFL Network.  I still have nightmares about this game   FU KC!",0
2fadf73014,"Still feeling weird about my ex and her engagement.  My mom made things worse.  I don`t even want her, but it`s still odd",0
c802e85df9,jen! we havent talked in like 3 days!,0
d3ccc37b2f,  what`s wrong with debbie?,0
8e4415271f,http://twitpic.com/67hvr - This picture is from last year freshman year how I miss thos days,0
38a6cb940a,I sure do hope it becomes 4:20 this afternoon ...,1
bc029fe804,Relaxing.,1
20e6d83878,"P9 for Danica and your team... Not a end of the world, now is just hopes for a great race",1
